university_id,university_name,url
52,Kaist - Korea Advanced Institute Of Science & Technology,https://nominatim.openstreetmap.org/search.php?q=Kaist%20-%20Korea%20Advanced%20Institute%20Of%20Science%20%26%20Technology%20Daejeon%20KR&format=geojson&addressdetails=1&limit=1
53,University Of Bristol,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Bristol%20Bristol%20UK&format=geojson&addressdetails=1&limit=1
54,University Of Amsterdam,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Amsterdam%20Amsterdam%20NL&format=geojson&addressdetails=1&limit=1
55,Yonsei University,https://nominatim.openstreetmap.org/search.php?q=Yonsei%20University%20Seoul%20KR&format=geojson&addressdetails=1&limit=1
56,The Hong Kong Polytechnic University,https://nominatim.openstreetmap.org/search.php?q=The%20Hong%20Kong%20Polytechnic%20University%20Hong%20Kong%20HK&format=geojson&addressdetails=1&limit=1
57,Carnegie Mellon University,https://nominatim.openstreetmap.org/search.php?q=Carnegie%20Mellon%20University%20Pittsburgh%20US&format=geojson&addressdetails=1&limit=1
58,Ludwig-Maximilians-Universität München,https://nominatim.openstreetmap.org/search.php?q=Ludwig-Maximilians-Universit%C3%A4t%20M%C3%BCnchen%20Munich%20DE&format=geojson&addressdetails=1&limit=1
59,Universiti Malaya (Um),https://nominatim.openstreetmap.org/search.php?q=Universiti%20Malaya%20%20Kuala%20Lumpur%20MY&format=geojson&addressdetails=1&limit=1
60,Duke University,https://nominatim.openstreetmap.org/search.php?q=Duke%20University%20Durham%20US&format=geojson&addressdetails=1&limit=1
61,City University Of Hong Kong,https://nominatim.openstreetmap.org/search.php?q=City%20University%20Of%20Hong%20Kong%20Hong%20Kong%20HK&format=geojson&addressdetails=1&limit=1
62,Ku Leuven,https://nominatim.openstreetmap.org/search.php?q=Ku%20Leuven%20Leuven%20BE&format=geojson&addressdetails=1&limit=1
63,Sorbonne University,https://nominatim.openstreetmap.org/search.php?q=Sorbonne%20University%20Paris%20FR&format=geojson&addressdetails=1&limit=1
64,The University Of Auckland,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Auckland%20Auckland%20NZ&format=geojson&addressdetails=1&limit=1
65,University Of Texas At Austin,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Texas%20At%20Austin%20Austin%20US&format=geojson&addressdetails=1&limit=1
66,Korea University,https://nominatim.openstreetmap.org/search.php?q=Korea%20University%20Seoul%20KR&format=geojson&addressdetails=1&limit=1
67,National Taiwan University (Ntu),https://nominatim.openstreetmap.org/search.php?q=National%20Taiwan%20University%20%20Taipei%20TW&format=geojson&addressdetails=1&limit=1
68,The University Of Warwick,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Warwick%20Coventry%20UK&format=geojson&addressdetails=1&limit=1
69,University Of Illinois At Urbana-Champaign,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Illinois%20At%20Urbana-Champaign%20Urbana%20US&format=geojson&addressdetails=1&limit=1
70,Universidad De Buenos Aires (Uba),https://nominatim.openstreetmap.org/search.php?q=Universidad%20De%20Buenos%20Aires%20%20Lleida%20AR&format=geojson&addressdetails=1&limit=1
71,"University Of California, San Diego (Ucsd)",https://nominatim.openstreetmap.org/search.php?q=University%20Of%20California%2C%20San%20Diego%20%20San%20Diego%20US&format=geojson&addressdetails=1&limit=1
72,Université Paris-Saclay,https://nominatim.openstreetmap.org/search.php?q=Universit%C3%A9%20Paris-Saclay%20Paris%20FR&format=geojson&addressdetails=1&limit=1
73,Kth Royal Institute Of Technology,https://nominatim.openstreetmap.org/search.php?q=Kth%20Royal%20Institute%20Of%20Technology%20Stockholm%20SE&format=geojson&addressdetails=1&limit=1
74,Lund University,https://nominatim.openstreetmap.org/search.php?q=Lund%20University%20Lund%20SE&format=geojson&addressdetails=1&limit=1
75,University Of Washington,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Washington%20Seattle%20US&format=geojson&addressdetails=1&limit=1
76,The University Of Western Australia,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Western%20Australia%20Perth%20AU&format=geojson&addressdetails=1&limit=1
77,University Of Glasgow,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Glasgow%20Glasgow%20UK&format=geojson&addressdetails=1&limit=1
78,Brown University,https://nominatim.openstreetmap.org/search.php?q=Brown%20University%20Providence%20US&format=geojson&addressdetails=1&limit=1
