Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
53,Estonia,59.2,16.6,43.9,44.3,58.6,68.9,2011
54,Armenia,58.7,25.9,46.9,27.6,47.4,17.4,2011
55,Argentina,56.6,18.6,43.0,49.6,44.6,51.8,2011
56,Taiwan,55.7,22.0,43.6,56.7,32.9,92.0,2011
57,Bosnia And Herzegovina,55.4,8.2,38.5,49.8,34.9,38.6,2011
58,Colombia,54.3,13.7,39.7,44.9,32.5,39.8,2011
59,Bulgaria,52.1,14.3,38.5,40.1,36.8,35.0,2011
60,Mexico,51.5,17.3,39.2,46.0,38.9,65.0,2011
61,Egypt,51.3,22.4,40.9,48.4,37.7,17.7,2011
62,Poland,51.2,19.5,39.8,39.7,38.7,62.8,2011
63,Serbia,51.0,15.5,38.3,38.7,40.2,31.9,2011
64,Syria,49.7,13.0,36.5,41.2,33.2,22.2,2011
65,Ecuador,49.5,14.5,36.9,56.7,27.3,40.3,2011
66,Indonesia,49.3,19.1,38.5,55.8,26.8,16.6,2011
67,Belarus,47.9,15.9,36.4,35.8,60.1,26.0,2011
68,Romania,47.7,13.6,35.5,40.1,35.2,33.4,2011
69,Peru,46.9,17.5,36.3,50.0,32.7,42.8,2011
70,Iran,46.1,29.6,40.2,49.6,32.5,54.8,2011
71,Ukraine,45.1,17.4,35.2,29.9,41.2,29.5,2011
72,Panama,45.0,19.0,35.7,38.6,32.2,70.1,2011
73,Malaysia,44.8,11.5,32.9,40.5,23.5,86.5,2011
74,Mongolia,44.4,18.5,35.1,56.0,27.6,34.6,2011
75,China,43.4,20.3,35.1,46.8,25.4,27.4,2011
76,Kenya,43.2,19.8,34.8,39.5,29.7,34.9,2011
77,North Macedonia,41.8,10.1,30.4,35.0,28.8,38.3,2011
78,Thailand,41.8,21.7,34.6,46.2,24.8,23.5,2011
79,Philippines,39.1,9.7,28.5,33.9,19.2,37.9,2011
80,Vietnam,39.1,32.3,36.6,36.1,24.0,51.1,2011
81,Bolivia,37.4,15.2,29.4,28.3,23.4,50.5,2011
82,Pakistan,31.0,7.8,22.6,28.1,20.2,30.3,2011
83,India,30.3,9.0,22.6,28.9,18.3,62.8,2011
1,Norway,151.3,55.5,116.8,142.4,150.2,92.6,2012
2,Switzerland,141.3,58.5,111.5,130.5,123.1,127.5,2012
3,Japan,134.2,54.2,105.4,118.0,84.3,79.9,2012
4,Monaco,128.2,173.1,144.3,89.8,138.1,62.3,2012
5,Australia,123.0,58.8,99.9,113.7,109.0,109.5,2012
6,Denmark,116.5,41.3,89.4,94.1,130.7,102.0,2012
7,Belgium,108.7,35.0,82.2,86.0,107.5,90.4,2012
8,Ireland,107.8,38.1,82.7,97.1,106.1,89.6,2012
9,Netherlands,104.5,41.2,81.7,69.6,104.4,95.2,2012
10,Iceland,103.6,32.7,78.1,97.7,92.2,78.6,2012
11,Sweden,101.9,29.4,75.8,85.3,101.5,100.7,2012
12,New Zealand,101.7,31.7,76.5,95.6,86.5,85.4,2012
13,United Kingdom,100.1,37.9,77.7,83.7,94.1,88.3,2012
14,Finland,99.7,36.5,76.9,82.3,96.9,98.1,2012
15,Bahrain,99.5,37.5,77.2,150.5,86.9,52.8,2012
16,France,98.2,35.9,75.8,83.0,94.9,92.7,2012
17,Canada,98.0,38.3,76.6,93.8,83.2,108.2,2012
18,Kuwait,96.2,30.8,72.7,73.5,137.4,70.0,2012
19,Singapore,96.1,90.7,94.1,82.8,65.1,93.3,2012
20,Israel,95.5,32.1,72.6,77.3,89.5,75.0,2012
21,Austria,94.8,34.3,73.1,85.1,76.6,98.3,2012
22,Italy,94.8,34.3,73.0,76.0,95.4,68.6,2012
23,Saudi Arabia,93.4,18.0,66.3,135.5,39.6,82.1,2012
24,Greece,93.1,18.9,66.4,69.8,91.2,48.3,2012
25,Cyprus,89.5,22.4,65.4,74.6,92.2,77.0,2012
26,Germany,88.6,28.9,67.1,72.1,76.2,114.4,2012
27,Lebanon,86.1,37.0,68.4,45.3,69.6,24.4,2012
28,Hong Kong,84.4,97.0,88.9,80.5,69.0,84.3,2012
29,Qatar,84.3,63.5,76.8,81.6,72.9,153.6,2012
30,Puerto Rico,84.3,28.1,64.1,81.8,64.6,78.2,2012
31,Brazil,83.7,25.6,62.8,57.8,57.0,32.8,2012
32,Malta,83.2,19.5,60.2,70.8,69.1,91.7,2012
33,United States,83.1,37.4,66.6,77.6,68.7,116.5,2012
34,Uruguay,83.0,25.3,62.2,66.0,68.8,29.4,2012
35,United Arab Emirates,82.0,66.9,76.5,66.2,80.5,125.9,2012
36,Spain,80.2,27.3,61.2,59.0,74.8,88.0,2012
37,South Africa,75.6,25.4,57.5,59.7,56.3,92.5,2012
38,Slovenia,74.3,25.7,56.8,64.7,58.0,57.9,2012
39,Morocco,71.9,26.6,55.6,61.4,41.7,16.7,2012
40,Azerbaijan,71.2,41.0,60.4,53.2,68.2,26.4,2012
41,Kazakhstan,70.8,31.8,56.8,49.6,54.7,24.5,2012
42,Portugal,70.8,23.0,53.6,56.2,52.2,56.0,2012
43,South Korea,68.6,27.8,53.9,70.7,48.2,108.6,2012
44,Costa Rica,68.4,23.0,52.1,67.0,52.9,46.3,2012
45,Latvia,67.8,14.3,48.5,51.3,63.6,35.0,2012
46,Croatia,67.5,13.9,48.2,56.0,52.4,50.1,2012
47,Chile,67.4,19.8,50.3,54.2,54.3,47.1,2012
48,Estonia,66.9,15.1,48.3,51.3,58.7,47.8,2012
49,Turkey,65.3,15.5,47.4,47.3,48.2,52.6,2012
50,Russia,64.8,23.8,50.1,49.7,67.5,43.9,2012
51,Argentina,63.1,19.2,47.3,52.4,54.4,41.7,2012
52,Taiwan,62.9,18.7,47.0,75.3,35.6,74.9,2012
53,Armenia,62.8,19.6,47.2,38.4,53.2,20.7,2012
54,Montenegro,62.2,17.2,46.0,49.1,55.9,38.9,2012
55,Lithuania,62.1,14.8,45.1,53.0,41.8,33.6,2012
56,Czech Republic,61.4,21.3,47.0,49.0,40.9,61.9,2012
57,Jordan,60.4,13.3,43.5,54.9,48.2,37.0,2012
58,Colombia,60.0,16.6,44.4,50.2,38.8,29.3,2012
59,Hungary,59.7,12.7,42.7,44.6,43.6,36.8,2012
60,Slovakia,59.3,23.0,46.2,49.2,40.0,49.2,2012
61,Georgia,56.1,15.3,41.4,40.9,49.1,29.4,2012
62,Peru,55.1,15.7,40.9,41.9,36.2,36.0,2012
63,Mexico,55.1,14.0,40.3,48.5,43.2,59.0,2012
