2025_rank,2024_rank,university,alpha_2,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
167,162,University of Wollongong,AU,29.5,24.5,17.0,94.6,91.8,56.3,89.0,18.3,93.9,50.3
169,159,Ghent University,BE,53.2,24.8,78.5,21.5,79.7,21.4,99.5,72.9,98.3,50.1
169,153,The University of Exeter,GB,42.9,45.0,30.2,42.5,91.0,72.2,95.1,30.1,97.1,50.1
171,173,University of Cape Town,ZA,45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8,95.6,50
172,169,University of Reading,GB,32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8,94.0,49.9
173,196,Hokkaido University,JP,59.0,63.3,76.2,26.0,18.7,12.1,77.7,15.5,78.1,49.8
174,183,Curtin University,AU,33.1,27.7,15.7,84.7,100.0,24.3,94.2,31.0,90.7,49.3
175,149,Universitat Autònoma de Barcelona,ES,64.0,35.8,11.5,59.5,18.5,16.5,93.1,24.0,86.7,49.2
176,189,McMaster University,CA,39.5,34.2,63.8,35.6,96.2,56.7,82.6,49.9,91.9,49
176,154,Washington University in St. Louis,US,36.3,12.0,99.7,47.7,69.5,72.4,83.6,31.9,86.7,49
178,163,"University of California, Santa Barbara (UCSB)",US,52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9,28.4,48.9
179,173,"The University of Newcastle, Australia (UON)",AU,28.3,24.5,28.7,91.7,99.9,24.2,82.0,14.8,92.4,48.7
179,198,Universidad de los Andes,CO,67.7,88.4,14.2,5.9,22.8,1.9,55.2,98.2,80.0,48.7
181,188,Universiti Teknologi Malaysia ,MY,48.6,59.6,46.0,40.5,14.1,86.9,82.9,18.0,52.1,48.5
181,199,Waseda University,JP,60.7,96.1,23.5,3.8,27.9,28.0,66.4,83.7,56.1,48.5
183,310,Hamad Bin Khalifa University,QA,12.9,4.7,99.9,100.0,100.0,100.0,74.3,6.0,2.6,48.3
184,167,University of York,GB,42.9,30.1,43.0,40.1,87.8,75.6,92.5,23.5,97.4,48.2
185,184,Tecnológico de Monterrey,MX,53.8,91.4,62.5,2.4,20.8,10.6,56.6,96.1,54.4,48.1
186,154,Cardiff University,GB,46.8,43.2,36.1,30.0,82.8,67.7,92.3,18.9,96.0,47.6
187,184,École Normale Supérieure de Lyon,FR,29.8,16.3,97.0,93.5,59.0,11.7,70.3,14.0,6.6,47.5
188,214,Keio University,JP,53.0,91.6,57.2,5.1,9.4,10.2,57.5,91.4,59.0,47.4
189,203,University of Ottawa,CA,26.2,23.3,3.5,81.3,91.7,77.8,93.0,39.8,92.9,47.3
190,184,Technische Universität Wien,AT,33.9,50.4,12.5,73.8,85.5,90.4,71.6,19.1,11.3,47.2
191,205,Universität Hamburg,DE,50.7,35.7,16.5,54.7,40.2,20.4,93.4,42.8,90.6,47.1
194,194,Wuhan University,CN,39.2,40.5,14.0,91.9,39.2,4.9,78.2,46.5,22.2,46.7
193,209,Queen's University at Kingston,CA,40.8,56.7,5.4,42.6,69.2,26.6,71.2,87.1,93.8,46.8
194,187,University of Gothenburg,SE,35.4,18.3,60.9,33.6,90.0,78.2,94.2,63.1,92.8,46.7
271,272,Beijing Normal University ,CN,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,19.7,38.5
196,166,Emory University,US,25.2,19.0,93.8,78.4,52.2,33.9,85.6,22.8,37.0,46.6
197,233,Deakin University,AU,31.3,23.9,4.6,73.6,96.4,63.8,82.7,36.8,93.7,46.4
198,199,Universidad Autónoma de Madrid,ES,61.0,64.3,29.1,21.0,7.7,10.4,92.0,43.1,79.6,46.3
198,182,University of Calgary,CA,37.9,44.5,18.1,40.3,77.7,66.2,85.2,53.3,93.3,46.3
200,179,Arizona State University,US,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3,46.2
200,203,King Saud University,SA,39.4,28.7,54.3,40.0,99.4,15.0,95.1,99.0,33.0,46.2
202,230,Khalifa University of Science and Technology,AE,22.7,21.0,80.0,60.7,100.0,78.9,78.8,9.3,61.6,46.1
203,180,Université catholique de Louvain (UCLouvain),BE,48.4,25.9,4.6,55.0,91.0,47.6,89.9,76.4,27.1,46
203,195,University of Minnesota Twin Cities,US,56.8,33.1,32.4,41.9,7.7,8.7,91.7,52.5,96.5,46
205,192,Ecole des Ponts ParisTech,FR,8.9,58.5,99.0,62.6,43.5,96.5,37.3,59.5,10.8,45.8
206,202,Queen's University Belfast,GB,35.4,33.6,28.6,40.6,100.0,98.2,92.8,9.9,88.9,45.7
206,237,Universitas Indonesia,ID,53.8,79.2,55.7,2.1,88.3,7.1,37.2,77.3,32.7,45.7
208,151,The Ohio State University,US,58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3,50.8,45.6
209,215,Tel Aviv University,IL,32.0,18.6,4.2,99.4,39.7,7.0,77.9,88.4,46.2,45.2
210,233,National Tsing Hua University,TW,54.8,71.2,28.0,49.6,9.5,11.1,45.0,16.3,32.1,45.1
211,225,Indian Institute of Science,IN,45.7,26.3,37.9,99.9,3.7,1.5,39.1,13.1,23.7,45
212,192,Albert-Ludwigs-Universitaet Freiburg,DE,43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5,90.0,44.8
213,189,Queensland University of Technology (QUT),AU,39.8,33.1,8.1,59.9,97.9,20.7,83.4,19.0,89.4,44.7
214,206,University of Otago,NZ,45.0,24.6,12.8,38.8,100.0,37.6,79.5,59.1,96.0,44.4
215,228,National Cheng Kung University (NCKU),TW,51.5,74.0,33.4,20.3,16.3,13.9,58.7,42.4,83.8,44.2
215,168,University of Florida,US,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6,44.2
217,242,La Trobe University,AU,23.6,19.8,8.0,77.7,92.6,95.0,78.6,19.6,78.4,44.1
218,169,"University of Maryland, College Park",US,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,44
219,217,National Yang Ming Chiao Tung University,TW,32.9,62.7,51.1,52.7,19.6,19.2,53.7,58.3,38.8,43.9
219,226,Universidad Nacional de Colombia,CO,71.0,89.9,5.4,3.4,5.6,1.4,65.9,42.6,53.1,43.9
221,207,Vrije Universiteit Amsterdam,NL,39.4,17.8,21.3,63.7,67.3,47.4,89.0,45.1,50.8,43.8
222,213,Eberhard Karls Universität Tübingen,DE,46.0,30.7,87.1,20.5,76.1,26.2,93.8,30.9,33.0,43.7
222,271,Indian Institute of Technology Kharagpur (IIT-KGP),IN,34.0,51.1,9.0,90.2,1.1,1.1,69.3,33.0,44.3,43.7
224,229,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,25.8,27.7,3.2,94.9,27.2,48.8,87.1,19.6,74.5,43.6
224,212,Loughborough University,GB,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8,43.6
224,220,University of Lausanne,CH,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2,43.6
227,285,Indian Institute of Technology Madras (IITM),IN,42.4,63.2,20.3,70.3,3.9,1.6,37.5,27.0,44.6,43.5
227,239,Rheinische Friedrich-Wilhelms-Universität Bonn,DE,52.8,24.1,62.7,17.2,44.3,38.9,94.7,35.4,83.2,43.5
229,211,Chulalongkorn University,TH,68.2,35.9,31.7,7.5,18.7,3.0,79.6,93.6,73.2,43.4
230,256,Maastricht University ,NL,23.0,27.8,13.2,62.8,99.4,100.0,80.5,38.2,52.5,43
230,189,Universite libre de Bruxelles,BE,33.3,34.5,3.0,49.9,98.7,84.4,87.5,65.5,25.2,43
232,220,Universidade Estadual de Campinas (Unicamp),BR,71.8,40.3,14.7,24.3,10.7,2.7,85.4,25.1,65.9,42.9
233,210,University of Twente,NL,20.7,32.0,43.3,61.3,100.0,90.4,87.6,20.0,13.8,42.7
234,246,Technische Universität Dresden,DE,36.3,42.5,80.3,28.5,35.8,27.6,93.8,8.8,75.8,42.6
235,250,University of Waikato,NZ,19.1,11.7,12.4,84.7,99.0,56.9,55.1,46.4,89.5,42.5
236,219,Università di Padova,IT,58.9,27.3,8.5,45.7,9.2,11.1,94.9,18.8,87.7,42.3
236,208,University of Aberdeen,GB,30.5,28.8,32.7,32.0,94.5,92.6,88.5,22.2,96.5,42.3
236,224,University of Rochester,US,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,42.3
239,263,Gadjah Mada University,ID,54.4,73.5,57.6,1.7,40.3,4.1,38.1,69.0,26.8,41.8
239,239,Massey University,NZ,30.1,14.0,48.0,27.4,98.5,95.2,85.1,49.2,91.4,41.8
