2025_rank,2024_rank,university,alpha_2,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
481,446,"The University of Tennessee, Knoxville",US,10.1,8.2,9.5,76.3,4.9,2.4,77.3,11.0,15.0,25
484,534,China Agricultural University ,CN,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8,24.9
485,,American University of Ras Al Khaimah ( AURAK ),AE,4.6,3.3,35.5,46.8,100.0,100.0,15.4,4.1,1.1,24.8
485,505,National Sun Yat-sen University,TW,26.5,24.9,32.0,22.1,22.7,10.8,35.6,11.4,48.9,24.8
487,454,Universität Mannheim,DE,15.3,53.9,3.0,31.0,42.4,22.7,27.9,34.9,1.5,24.7
488,386,University of Hawai?i at M?noa,US,15.2,6.6,29.7,41.7,41.7,12.0,82.9,7.9,30.1,24.6
448,491,Dalian University of Technology,CN,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,26.6
489,494,Chung-Ang University (CAU),KR,16.0,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5,24.5
489,,Isfahan University of Technology,IR,4.9,15.7,5.1,92.2,2.3,1.4,43.5,5.6,1.1,24.5
428,454,Southeast University,CN,13.5,6.6,20.8,82.0,14.4,3.4,69.2,5.0,11.6,27.8
489,419,UNESP,BR,41.1,25.8,13.0,16.2,5.9,2.7,70.9,1.5,14.5,24.5
489,446,University of Jyväskylä,FI,16.2,11.4,87.7,12.1,44.0,2.6,81.2,10.4,16.3,24.5
495,590,Central Queensland University (CQUniversity Australia),AU,9.0,6.7,29.4,20.9,97.1,97.8,44.0,3.1,49.8,24.4
495,514,Duy Tan University,VN,11.9,25.3,3.9,49.0,37.7,1.4,83.5,4.4,29.0,24.4
489,561,Chongqing University,CN,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1,24.5
497,461,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),RU,9.2,11.8,98.9,8.1,45.8,89.5,32.9,14.6,1.1,24.2
497,544,Universidad de Costa Rica,CR,35.4,24.3,32.3,1.6,2.4,2.0,45.5,81.6,16.9,24.2
497,404,"University of California, Riverside",US,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3,24.2
501,580,Abu Dhabi University,AE,15.9,24.6,14.9,16.7,100.0,99.8,27.3,8.3,1.5,24.1
501,465,Colorado School of Mines,US,6.8,12.5,15.8,72.0,29.7,7.4,30.9,17.7,18.0,24.1
511,621-630,Zhengzhou University,CN,5.4,22.0,4.9,80.3,,2.4,56.3,5.7,2.4,23.8
501,464,Johannes Gutenberg Universität Mainz,DE,22.3,11.4,57.8,11.5,42.0,15.5,87.0,11.4,16.3,24.1
501,567,University of Huddersfield,GB,12.7,12.4,7.5,19.4,63.7,85.6,73.0,1.3,72.3,24.1
506,498,University of Delaware,US,9.4,7.9,6.6,53.9,30.0,12.6,66.5,16.9,65.3,24
506,429,University of Trento,IT,24.9,10.5,22.0,32.7,29.6,6.1,85.8,4.4,19.0,24
508,530,Aristotle University of Thessaloniki,GR,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,23.9
631-640,711-720,China University of Petroleum,CN,3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1,1.5,-
508,511,SOAS University of London ,GB,17.1,9.4,14.8,15.1,100.0,98.7,16.9,22.4,39.1,23.9
511,498,Ewha Womans University,KR,22.1,21.2,76.3,6.9,7.0,24.4,31.3,23.0,34.2,23.8
452,473,Beihang University (former BUAA),CN,12.1,7.8,41.5,72.1,7.0,4.5,51.2,12.8,4.3,26.4
513,595,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),SA,10.5,11.4,89.5,2.6,98.2,19.7,68.3,2.4,18.4,23.7
513,590,Prince Mohammad Bin Fahd university,SA,20.3,23.0,23.1,27.8,100.0,18.8,23.3,2.8,1.2,23.7
513,481,University of Milano-Bicocca ,IT,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,14.8,23.7
516,563,Ateneo de Manila University,PH,21.4,64.5,24.4,1.8,2.9,2.5,23.0,70.6,15.6,23.6
516,529,Edith Cowan University ,AU,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,5.8,23.6
516,556,INTI International University,MY,7.7,19.9,89.1,1.7,95.4,92.9,7.0,4.4,1.1,23.6
516,520,Kyungpook National University,KR,11.1,16.7,66.9,20.5,11.1,25.7,52.0,10.6,60.6,23.6
516,526,Sabanci University,TR,19.5,44.6,38.2,19.4,32.0,14.2,25.9,7.2,7.9,23.6
516,523,University of Hull,GB,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0,23.6
516,473,Ural Federal University - UrFU,RU,19.6,14.2,95.5,2.1,5.4,25.3,86.6,1.9,12.7,23.6
523,551,Canadian University Dubai,AE,20.1,19.9,33.5,2.7,100.0,100.0,14.0,17.4,1.6,23.5
524,611-620,Pusan National University,KR,18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8,65.0,23.4
524,520,Universidad Austral,AR,20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9,1.3,23.4
526,461,Universität Jena,DE,17.2,5.7,99.9,8.8,,20.2,94.7,3.9,13.1,23.3
527,480,Missouri University of Science and Technology,US,4.0,6.1,5.7,86.2,35.2,12.8,30.5,4.8,1.7,23.2
527,479,Universität Leipzig,DE,23.5,9.7,74.8,8.4,,14.2,84.3,10.5,21.3,23.2
527,509,University of Bayreuth,DE,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9.0,11.3,23.2
527,571,Warsaw University of Technology,PL,23.3,51.9,42.6,4.7,2.4,10.3,60.6,9.8,1.4,23.2
531,571,Coventry University,GB,9.7,9.5,16.9,7.1,77.0,99.9,82.6,10.0,64.4,23.1
531,571,Indian Institute of Technology (BHU) Varanasi,IN,5.5,5.9,3.9,95.0,1.4,1.1,24.5,6.5,10.1,23.1
531,441,University of Utah,US,15.7,6.3,50.0,30.5,15.5,10.3,80.5,17.4,24.5,23.1
534,540,Universidad Nacional de La Plata (UNLP),AR,40.8,19.2,28.4,1.9,5.3,22.6,55.4,27.3,2.2,23
535,540,Lahore University of Management Sciences (LUMS),PK,17.2,73.2,27.1,7.4,12.2,1.8,19.5,37.0,1.1,22.9
535,548,Northumbria University at Newcastle,GB,10.9,10.8,11.8,15.8,70.7,56.2,78.4,14.0,75.3,22.9
535,465,University of Bordeaux,FR,31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7,20.1,22.9
535,548,University of Eastern Finland,FI,13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2,78.6,22.9
539,582,Applied Science University - Bahrain,BH,23.5,25.0,39.3,2.0,100.0,46.8,13.3,11.3,1.7,22.8
539,481,Hitotsubashi University,JP,14.4,73.0,30.8,2.1,19.8,20.0,7.5,51.9,1.1,22.8
539,586,Sunway University,MY,13.0,39.2,44.0,10.3,35.9,33.2,51.1,3.9,27.3,22.8
539,563,Université de Fribourg,CH,10.3,3.0,7.5,25.4,99.9,38.3,58.3,40.6,51.8,22.8
539,534,University of Salamanca,ES,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5,22.8
544,523,Universidad de Zaragoza,ES,21.3,5.1,56.1,7.0,4.5,9.0,89.5,10.7,77.1,22.7
544,582,Universidad Pontificia Comillas,ES,8.3,71.6,38.3,2.2,18.7,5.0,9.0,85.4,7.1,22.7
531,641-650,University of Bradford,GB,9.1,7.1,6.8,21.7,68.5,97.6,66.0,34.3,40.7,23.1
641-650,681-690,East China University of Science and Technology,CN,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,2.5,-
547,,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),UZ,30.6,19.9,79.0,2.2,26.3,4.1,8.6,15.1,9.5,22.6
547,530,University of Genoa,IT,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,39.5,22.6
547,1201-1400,University of Iceland,IS,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,5.9,22.6
547,641-650,University of Windsor,CA,3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8,38.5,22.6
552,611-620,Al Ain University,AE,22.6,15.7,13.4,5.9,100.0,100.0,27.5,5.9,5.2,22.5
552,,University of Tabriz,IR,5.9,5.0,3.4,81.7,1.5,6.8,71.8,5.3,1.2,22.5
554,551,Hasselt University ,BE,5.8,3.3,82.1,15.4,74.2,25.3,69.6,2.4,26.8,22.4
554,731-740,Jordan University of Science & Technology,JO,21.0,30.7,18.8,5.6,38.2,67.7,55.5,4.3,24.5,22.4
554,538,Universiti Utara Malaysia (UUM),MY,22.0,25.4,38.8,8.2,19.4,79.3,34.1,12.3,5.3,22.4
554,691-700,University of Dhaka,BD,23.0,45.6,11.2,2.9,1.6,1.0,52.0,93.7,11.8,22.4
554,542,University Ulm,DE,7.4,5.5,78.5,31.2,39.6,21.0,61.1,2.9,2.1,22.4
559,534,Peter the Great St. Petersburg Polytechnic University,RU,16.0,10.9,74.3,2.9,14.1,84.0,64.7,4.9,11.2,22.3
559,498,Ulster University,GB,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,62.2,22.3
559,601-610,Umm Al-Qura University ,SA,20.7,12.8,54.7,2.2,100.0,16.0,59.7,6.7,3.1,22.3
562,452,Université Claude Bernard Lyon 1,FR,18.1,3.7,7.9,48.3,7.4,12.0,93.7,12.4,11.0,22.2
562,525,Universiti Teknologi Brunei,BN,15.4,6.3,88.5,9.9,100.0,5.8,15.9,14.7,1.4,22.2
564,701-710,Eötvös Loránd University,HU,23.3,22.6,10.7,6.1,5.2,11.0,71.3,60.9,61.9,22.1
681-690,781-790,China University of Mining and Technology,CN,3.5,1.6,14.1,68.5,,,52.4,10.1,2.8,-
565,444,University of Connecticut,US,14.4,8.1,18.2,29.8,27.4,19.4,88.0,23.3,37.6,22
567,571,Chiang Mai University,TH,34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1,56.1,21.9
567,577,Lebanese University,LB,29.0,34.4,10.1,2.2,43.8,29.5,43.7,29.9,5.8,21.9
567,526,MGIMO University,RU,9.8,25.4,100.0,1.3,11.3,41.3,5.7,60.0,1.0,21.9
570,556,"University of Chemistry and Technology, Prague",CZ,5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2,3.4,21.8
570,601-610,University of Szeged,HU,18.5,16.8,37.0,4.8,11.8,41.2,73.1,15.0,61.9,21.8
570,741-750,University of the Punjab,PK,15.6,52.2,4.5,11.6,3.2,1.3,62.2,81.4,4.3,21.8
573,461,Florida State University,US,25.6,18.1,7.2,24.8,10.0,4.2,71.9,18.4,26.8,21.6
574,556,Florida International University,US,15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6,81.2,21.5
574,671-680,University of Debrecen,HU,17.9,13.9,34.0,3.9,10.6,70.0,76.7,21.4,39.5,21.5
576,586,National Research Tomsk Polytechnic University,RU,8.9,8.4,95.1,3.7,10.9,82.8,62.7,2.0,7.1,21.4
576,509,Sogang University,KR,17.5,45.5,56.7,5.1,7.1,19.6,13.8,16.0,17.7,21.4
576,651-660,Southern Cross University ,AU,4.4,2.8,2.9,46.3,81.1,44.8,44.2,4.8,48.2,21.4
576,567,Universidad Adolfo Ibáñez,CL,20.6,57.0,4.7,4.6,36.9,3.9,31.5,53.3,2.0,21.4
580,601-610,Jawaharlal Nehru University,IN,31.0,14.4,10.0,28.9,,1.3,47.4,14.7,19.7,21.3
711-720,781-790,Nanjing Agricultural University,CN,5.0,1.9,7.5,67.6,,1.5,48.2,1.4,2.2,-
580,621-630,Management and Science University,MY,15.1,18.1,40.2,1.8,97.3,99.4,12.1,4.2,1.2,21.3
580,556,Politecnico di Bari,IT,6.9,4.8,11.3,76.5,4.6,7.2,46.6,3.5,1.3,21.3
580,511,Université Paul Sabatier Toulouse III,FR,17.7,3.4,38.5,28.0,5.1,21.5,98.5,6.0,10.3,21.3
585,621-630,Institut Teknologi Sepuluh Nopember (ITS Surabaya),ID,17.3,48.9,47.8,1.6,47.5,5.3,12.0,13.0,16.1,21.2
585,545,Singapore Management University,SG,12.3,14.2,10.2,18.8,100.0,58.9,20.8,27.1,26.3,21.2
587,567,Bond University,AU,4.3,4.6,47.8,28.8,70.4,86.6,26.5,8.4,1.0,21.1
587,771-780,Shoolini University of Biotechnology and Management Sciences,IN,10.0,14.9,8.1,55.9,33.3,1.7,44.8,2.0,16.3,21.1
587,514,The University of Georgia,US,20.6,18.6,9.8,24.4,6.7,4.5,83.7,21.5,30.7,21.1
587,555,Universiti Teknologi MARA - UiTM,MY,30.8,40.4,17.6,2.8,1.7,2.1,68.6,3.6,15.2,21.1
587,621-630,University of Kwazulu-Natal,ZA,12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2,37.9,21.1
592,721-730,Ain Shams University ,EG,24.0,32.2,11.3,1.9,23.1,7.5,74.2,56.3,9.8,21
592,595,Nottingham Trent University,GB,10.6,15.1,10.6,5.1,57.1,74.0,84.6,12.0,64.1,21
592,514,Universität Bremen,DE,18.5,7.7,13.1,24.4,46.9,26.4,89.1,1.8,19.9,21
595,542,ITMO University,RU,10.5,13.0,95.5,5.4,20.3,36.2,65.3,1.9,1.2,20.9
596,600,Thammasat University,TH,24.6,19.4,26.6,2.1,9.1,1.7,41.0,84.6,33.6,20.8
596,661-670,Universitas Padjadjaran,ID,19.0,41.6,41.4,1.4,34.8,2.2,19.6,33.4,21.3,20.8
596,491,University of Iowa,US,18.4,8.7,41.7,19.1,15.5,3.7,75.6,26.6,20.8,20.8
596,621-630,University of Ljubljana,SI,19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6,4.9,20.8
596,520,University of Texas Dallas,US,13.1,15.9,3.4,43.3,9.7,47.4,60.4,4.9,9.5,20.8
601-610,661-670,Ca' Foscari University of Venice ,IT,19.6,15.8,5.7,12.7,42.0,8.9,64.6,12.3,74.5,-
601-610,469,Illinois Institute of Technology,US,12.8,11.0,14.1,35.9,19.2,97.3,18.9,12.2,1.6,-
601-610,761-770,King Khalid University,SA,16.6,8.3,49.8,2.7,100.0,18.0,78.3,2.2,2.3,-
601-610,601-610,"Kingston University, London",GB,17.9,15.3,5.8,7.6,70.8,99.2,48.2,12.6,6.9,-
601-610,590,Manchester Metropolitan University (MMU),GB,11.8,12.6,8.1,10.1,42.9,37.7,91.7,12.3,79.6,-
601-610,567,National Chengchi University,TW,20.1,37.8,17.1,2.2,26.5,21.8,13.3,91.1,1.6,-
601-610,681-690,Paris Lodron University of Salzburg,AT,9.7,2.9,20.8,6.8,96.1,93.7,55.5,15.7,39.5,-
601-610,494,Rensselaer Polytechnic Institute,US,8.0,8.4,19.7,56.6,3.7,29.9,25.0,31.4,2.8,-
601-610,600,Universität des Saarlandes,DE,10.2,5.0,92.2,7.0,4.6,35.9,71.4,29.0,1.2,-
601-610,534,University of Crete,GR,13.9,12.7,2.4,58.7,2.3,3.5,57.0,3.6,1.8,-
601-610,651-660,University of Hohenheim,DE,8.6,6.1,12.0,47.5,25.2,25.9,76.9,5.0,19.2,-
601-610,575,University of South Carolina,US,13.8,9.4,9.7,28.3,30.4,3.2,71.9,17.3,63.1,-
611-620,671-680,American University of the Middle East,KW,23.1,21.6,19.7,3.7,100.0,23.0,35.1,5.1,3.5,-
611-620,621-630,Asia Pacific University of Technology and Innovation (APU),MY,9.3,12.5,62.2,1.6,92.0,100.0,6.8,4.0,1.6,-
611-620,611-620,Brno University of Technology,CZ,13.0,29.3,25.7,7.3,14.8,67.3,78.8,12.7,3.3,-
611-620,530,Christian-Albrechts-University zu Kiel,DE,17.7,10.8,44.7,15.6,,8.4,90.0,14.3,23.5,-
611-620,,Eastern Mediterranean University,NCY,5.6,2.1,3.5,26.5,90.1,100.0,55.2,24.1,1.8,-
611-620,595,Pontifícia Universidade Católica do Rio de Janeiro,BR,32.4,16.2,10.8,7.5,12.6,1.6,44.5,68.0,5.4,-
611-620,577,Taipei Medical University (TMU),TW,10.6,12.5,90.4,18.9,16.0,13.7,22.9,8.1,8.3,-
611-620,580,University of Klagenfurt,AT,5.7,3.7,51.3,11.3,96.0,87.8,35.6,9.2,1.6,-
611-620,611-620,University of Minho,PT,15.6,7.1,26.5,21.0,15.9,14.9,83.7,8.6,52.1,-
621-630,601-610,Abo Akademi University,FI,7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3,6.4,-
621-630,601-610,American University in Dubai,AE,10.3,16.9,25.2,1.9,100.0,100.0,4.5,41.3,1.0,-
621-630,611-620,Auezov South Kazakhstan University (SKU),KZ,18.5,28.7,89.5,1.0,12.9,16.2,4.0,3.2,2.6,-
621-630,601-610,Charles Darwin University ,AU,5.7,4.2,4.5,44.2,25.4,55.2,41.3,3.9,63.7,-
621-630,711-720,Istanbul University,TR,28.1,25.3,2.8,3.5,5.3,9.9,68.8,72.8,1.7,-
701-710,721-730,Beijing University of Chemical Technology,CN,4.5,1.8,19.0,67.1,2.5,1.7,37.2,2.4,1.3,-
621-630,651-660,Tallinn University of Technology (TalTech),EE,12.8,10.2,31.5,10.8,60.0,18.3,83.3,45.6,1.3,-
621-630,538,Universidad de Alcalá,ES,9.7,5.8,60.0,5.6,10.6,44.9,77.1,7.7,59.0,-
621-630,530,Universidad de Palermo (UP),AR,10.2,9.8,92.8,1.0,35.6,91.9,2.6,7.8,,-
621-630,563,University of South Florida,US,12.9,9.5,8.8,36.3,19.9,22.2,86.7,6.1,15.9,-
621-630,577,University of Tromsø The Arctic University of Norway,NO,11.0,4.3,68.3,8.9,69.3,7.0,78.4,5.6,10.5,-
621-630,701-710,Zayed University,AE,17.6,18.4,24.3,8.6,100.0,1.9,50.8,20.9,2.9,-
631-640,631-640,Ajou University ,KR,13.7,15.0,68.9,17.9,9.3,24.2,18.8,4.2,23.7,-
631-640,631-640,Boston College,US,21.3,16.2,21.2,16.6,12.5,18.8,50.8,42.2,7.1,-
631-640,621-630,Chang Gung University,TW,6.3,4.3,71.6,41.9,5.1,4.5,27.7,2.0,13.2,-
508,595,Shenzhen University,CN,7.7,3.2,42.1,64.5,11.0,1.4,65.1,15.8,7.4,23.9
631-640,641-650,Far Eastern Federal University,RU,12.8,5.5,96.7,1.7,10.8,63.1,41.7,5.1,1.1,-
631-640,691-700,Inha University,KR,12.2,14.3,77.2,10.9,9.7,13.7,23.9,13.1,41.4,-
631-640,711-720,Savitribai Phule Pune University,IN,8.9,18.3,48.8,35.3,1.4,2.5,44.2,14.4,1.8,-
631-640,600,Tulane University,US,9.8,6.0,84.7,9.7,9.9,10.8,75.4,26.0,8.0,-
631-640,601-610,Universidad de Concepción,CL,26.2,22.4,14.8,6.7,10.6,1.7,61.1,12.5,45.9,-
631-640,502,University of Portsmouth,GB,8.1,7.3,8.6,15.1,74.0,85.3,75.4,8.9,21.1,-
641-650,711-720,Beirut Arab University ,LB,17.7,14.8,19.1,3.3,88.5,48.2,28.0,38.2,1.0,-
641-650,681-690,De La Salle University,PH,22.6,52.4,10.0,4.5,1.9,2.5,22.2,47.4,2.7,-
547,621-630,Northwestern Polytechnical University,CN,5.8,3.2,44.8,63.8,16.7,5.2,53.4,6.6,2.4,22.6
641-650,761-770,Hacettepe University ,TR,22.5,29.4,10.8,7.1,4.0,3.5,72.1,22.2,34.8,-
641-650,548,Lehigh University,US,5.2,4.8,24.3,32.5,47.1,27.8,44.5,29.0,33.3,-
641-650,611-620,National Central University,TW,21.5,28.2,22.9,14.4,11.6,10.0,30.4,10.2,27.9,-
641-650,505,Oregon State University,US,14.6,4.2,15.6,33.9,11.7,8.1,81.2,19.3,21.1,-
641-650,631-640,Ritsumeikan University,JP,16.6,55.7,7.8,3.1,28.4,9.6,30.9,3.9,39.5,-
501,511,East China Normal University,CN,13.3,4.7,16.2,63.5,24.1,9.0,72.0,9.0,6.8,24.1
641-650,,Symbiosis International (Deemed University),IN,5.4,95.6,19.7,1.8,16.1,3.6,16.7,5.2,2.0,-
641-650,761-770,Universiti Tenaga Nasional (UNITEN),MY,8.0,11.6,62.2,17.3,18.0,65.0,32.9,4.4,9.1,-
641-650,586,"University of Missouri, Columbia",US,14.3,8.0,37.8,16.5,46.7,3.3,66.5,30.5,12.3,-
641-650,621-630,University of the Basque Country,ES,19.5,7.3,32.8,19.0,2.4,3.5,90.8,22.8,7.3,-
651-660,575,HUFS - Hankuk (Korea) University of Foreign Studies ,KR,11.5,21.3,81.2,1.6,32.0,47.9,12.6,1.7,8.1,-
651-660,631-640,Palacký University Olomouc,CZ,15.2,13.9,29.9,8.5,32.7,17.8,87.3,6.8,33.0,-
651-660,701-710,Universidade de Santiago de Compostela,ES,24.1,10.8,12.4,17.0,2.6,5.5,78.0,11.3,36.6,-
651-660,641-650,University of Houston,US,12.7,11.4,5.0,24.6,23.9,19.8,71.6,50.3,19.7,-
651-660,751-760,University of Zagreb,HR,16.3,7.3,23.8,4.1,1.7,3.3,91.6,96.9,27.9,-
661-670,661-670,Aberystwyth University,GB,9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1,44.9,-
661-670,545,City University of New York,US,19.9,35.6,8.9,4.7,6.1,4.4,93.1,22.0,13.2,-
661-670,771-780,Comenius University Bratislava,SK,12.8,8.5,56.0,3.5,3.8,22.9,60.2,79.8,5.1,-
661-670,641-650,Free University of Bozen-Bolzano,IT,5.8,1.5,12.8,42.6,72.3,37.4,49.3,3.4,2.0,-
661-670,711-720,International Islamic University Malaysia (IIUM),MY,24.4,17.0,13.4,3.1,22.8,57.1,62.5,23.0,1.2,-
661-670,751-760,ISCTE - Instituto Universitario de Lisboa,PT,6.9,5.9,2.0,47.8,18.7,49.6,49.7,27.2,1.5,-
661-670,641-650,Memorial University of Newfoundland,CA,7.2,5.9,10.1,28.6,23.9,78.4,74.1,12.1,16.9,-
661-670,661-670,National Chung Hsing University,TW,21.1,23.0,25.3,11.5,8.8,8.4,32.2,28.4,32.1,-
661-670,741-750,"Sofia University ""St. Kliment Ohridski""",BG,14.2,18.0,45.7,2.0,3.0,8.5,61.0,81.8,8.9,-
661-670,611-620,Tokyo Medical and Dental University (TMDU),JP,11.8,6.5,100.0,17.7,2.4,13.4,21.9,2.0,1.6,-
661-670,801-850,Universidad de la República (Udelar),UY,27.1,13.7,14.2,1.6,7.9,2.3,62.4,87.7,2.6,-
661-670,671-680,University of Manitoba,CA,13.6,15.9,29.6,12.0,,43.2,73.1,32.8,16.3,-
661-670,561,University of Plymouth,GB,8.9,8.9,11.6,25.9,49.8,36.2,80.1,7.3,21.5,-
671-680,681-690,Abai Kazakh National Pedagogical University,KZ,26.5,22.8,53.8,1.1,37.8,3.7,4.1,12.6,1.7,-
671-680,545,Bar-Ilan University,IL,7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9,4.2,-
671-680,661-670,Karl-Franzens-Universitaet Graz,AT,19.9,10.9,11.7,10.7,45.4,26.1,63.9,31.9,12.3,-
671-680,641-650,Kazakh National Agrarian University KazNAU,KZ,19.9,16.4,85.2,1.1,19.6,22.6,6.5,3.3,2.7,-
671-680,611-620,Martin-Luther-Universität Halle-Wittenberg,DE,13.1,6.4,80.1,7.4,,8.8,90.0,4.8,6.2,-
671-680,691-700,Universidade Federal de Minas Gerais      ,BR,32.4,8.9,13.8,7.0,8.0,1.5,64.0,39.7,6.7,-
671-680,651-660,University of Haifa,IL,13.0,5.9,14.6,32.1,13.4,3.6,67.2,22.9,37.3,-
641-650,681-690,Soochow University,CN,6.6,2.6,15.9,63.0,6.2,2.5,47.4,16.8,2.0,-
681-690,593,"Goldsmiths, University of London",GB,13.1,5.1,12.8,12.0,92.0,91.5,25.1,14.4,3.1,-
681-690,691-700,Indian Institute of Technology Hyderabad,IN,6.2,4.4,18.2,71.1,1.2,1.5,13.7,2.0,4.3,-
681-690,721-730,Jeonbuk National University,KR,15.6,11.1,61.3,10.6,7.8,6.8,35.3,2.8,48.5,-
681-690,,Prince Sultan University,SA,6.5,5.3,14.7,31.7,100.0,13.9,54.3,11.0,3.6,-
681-690,661-670,Princess Nourah bint Abdulrahman University,SA,16.6,14.8,18.9,2.5,94.5,38.4,64.0,2.3,3.1,-
681-690,721-730,Temple University,US,12.3,7.1,29.2,16.9,3.0,5.7,77.2,23.2,61.9,-
681-690,741-750,"University of Agriculture, Faisalabad ",PK,6.3,11.6,1.6,61.0,2.5,1.1,66.7,2.4,1.7,-
681-690,711-720,University of New Brunswick,CA,4.9,8.3,19.9,27.5,61.0,34.1,48.7,17.3,29.0,-
691-700,771-780,Chandigarh University,IN,14.1,51.3,24.0,1.4,37.6,15.3,37.4,1.9,1.6,-
691-700,1201-1400,Norwegian University of Life Sciences (UMB),NO,5.8,4.3,100.0,8.5,,,74.7,18.6,9.9,-
691-700,641-650,Pakistan Institute of Engineering and Applied Sciences (PIEAS),PK,6.5,9.6,66.1,41.0,,1.0,14.7,3.5,1.0,-
691-700,681-690,Shiraz University,IR,6.9,5.4,4.6,60.7,1.2,2.2,54.3,14.1,7.9,-
691-700,631-640,Universidad Central de Venezuela,VE,21.0,40.6,27.1,1.1,2.6,1.4,21.5,51.4,1.0,-
691-700,641-650,Universidad de La Habana,CU,17.0,10.6,72.8,1.5,1.8,3.7,17.8,76.5,1.0,-
691-700,661-670,Universidad Panamericana (UP),MX,9.9,20.0,75.4,1.2,17.4,2.5,20.1,68.7,2.0,-
691-700,731-740,Universidade Federal de São Paulo,BR,10.5,5.1,95.6,6.0,4.7,1.5,54.0,2.9,30.1,-
691-700,691-700,Universidade Federal do Rio Grande Do Sul ,BR,28.0,5.3,12.8,10.1,2.2,1.6,80.1,25.9,31.3,-
691-700,791-800,University of Brescia,IT,4.4,2.2,7.4,56.3,2.6,6.3,55.5,3.3,44.9,-
691-700,671-680,University of Greenwich,GB,4.7,4.1,4.1,11.7,91.5,100.0,78.2,14.9,5.4,-
691-700,731-740,University of Siena,IT,13.6,3.5,9.7,40.4,2.9,10.8,61.0,9.3,27.9,-
801-850,851-900,Huazhong Agricultural University,CN,4.2,2.1,6.0,59.7,3.7,1.6,31.6,3.0,2.9,-
701-710,671-680,Dongguk University ,KR,7.9,10.5,83.6,9.7,9.0,23.8,36.5,4.8,20.8,-
701-710,661-670,Lebanese American University,LB,13.5,20.3,29.1,3.7,73.3,19.6,36.5,19.9,19.5,-
701-710,781-790,National Institute of Technology Tiruchirappalli,IN,4.1,2.8,9.1,71.0,,1.8,34.5,3.0,5.2,-
701-710,621-630,Stevens Institute of Technology,US,2.6,4.0,5.2,41.7,53.2,96.4,18.0,7.8,1.3,-
701-710,681-690,Taras Shevchenko National University of Kyiv,UA,18.9,36.6,27.0,2.2,1.5,3.9,40.3,45.5,1.6,-
701-710,551,University of Nebraska - Lincoln,US,10.6,5.8,16.9,30.4,21.5,7.1,73.1,7.2,33.0,-
701-710,641-650,University of Oklahoma,US,10.2,9.8,15.6,31.1,21.8,5.7,69.3,22.3,17.7,-
711-720,751-760,Ahlia University,BH,16.7,8.4,31.7,3.8,100.0,42.7,9.3,12.7,2.5,-
711-720,791-800,American University,US,16.2,29.3,32.9,4.3,8.0,19.4,30.6,40.5,4.8,-
711-720,651-660,COMSATS University Islamabad,PK,11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1,14.6,-
711-720,701-710,Czech University of Life Sciences in Prague,CZ,10.4,6.7,9.4,10.8,29.0,73.5,75.8,3.9,49.5,-
711-720,801-850,De Montfort University,GB,5.3,4.8,5.6,8.0,74.2,97.5,62.8,6.4,41.4,-
711-720,641-650,"Lingnan University, Hong Kong",HK,9.9,6.5,13.9,11.0,100.0,98.9,15.6,3.7,3.8,-
761-770,801-850,Nanjing University of Aeronautics and Astronautics,CN,5.5,3.4,12.4,57.8,5.3,3.0,39.7,1.4,1.6,-
